,Cello,Clarinet,Flute,Acoustic Guitar,Electric Guitar,Organ,Piano,Saxophone,Trumpet,Violin,Voice
Cello,2,0,0,0,0,0,0,0,0,2,22
Clarinet,0,0,0,0,0,0,0,4,4,0,0
Flute,0,1,8,9,4,3,2,0,0,0,1
Acoustic Guitar,2,2,1,86,13,5,0,3,1,0,22
Electric Guitar,5,0,2,5,71,35,12,20,5,3,59
Organ,0,0,0,1,6,9,1,3,0,0,9
Piano,4,8,13,8,15,23,65,103,28,0,28
Saxophone,0,1,2,1,0,0,0,2,0,0,1
Trumpet,0,0,0,0,0,0,0,0,0,0,0
Violin,0,0,0,0,0,0,0,0,0,1,1
Voice,6,0,3,0,7,1,1,1,0,0,41
