,Cello,Clarinet,Flute,Acoustic Guitar,Electric Guitar,Organ,Piano,Saxophone,Trumpet,Violin,Voice
Cello,1,0,0,2,0,0,0,0,0,0,23
Clarinet,0,0,0,0,0,0,0,4,4,0,0
Flute,0,3,11,5,4,1,0,1,1,0,2
Acoustic Guitar,3,1,2,72,5,3,1,1,6,5,36
Electric Guitar,10,1,0,2,43,23,10,32,9,2,85
Organ,0,0,0,2,7,6,0,4,0,0,10
Piano,0,1,2,5,15,13,63,117,38,0,41
Saxophone,0,1,0,0,0,0,0,3,1,0,2
Trumpet,0,0,0,0,0,0,0,0,0,0,0
Violin,1,0,0,0,0,0,0,0,0,0,1
Voice,3,0,0,0,1,0,0,0,0,3,53
