,Cello,Clarinet,Flute,Acoustic Guitar,Electric Guitar,Organ,Piano,Saxophone,Trumpet,Violin,Voice
Cello,1,0,0,1,0,0,0,1,0,1,22
Clarinet,0,0,0,0,0,0,0,5,3,0,0
Flute,0,2,4,7,13,0,0,1,1,0,0
Acoustic Guitar,1,0,2,73,12,1,0,5,6,10,25
Electric Guitar,7,2,0,1,62,22,9,38,5,2,69
Organ,0,1,1,1,7,6,0,4,0,0,9
Piano,1,3,3,3,29,10,55,129,30,0,32
Saxophone,0,2,0,0,1,0,0,2,1,0,1
Trumpet,0,0,0,0,0,0,0,0,0,0,0
Violin,1,0,0,0,0,0,0,0,0,0,1
Voice,2,0,0,0,6,0,0,1,0,2,49
