,Cello,Clarinet,Flute,Acoustic Guitar,Electric Guitar,Organ,Piano,Saxophone,Trumpet,Violin,Voice
Cello,1,0,0,0,1,0,0,0,0,2,22
Clarinet,0,0,0,0,0,0,0,4,4,0,0
Flute,0,1,9,8,3,3,1,1,1,0,1
Acoustic Guitar,3,2,2,84,11,4,0,3,2,0,24
Electric Guitar,4,0,1,5,65,34,14,21,4,3,66
Organ,0,0,0,0,5,11,1,3,0,0,9
Piano,2,5,12,6,11,24,66,109,30,0,30
Saxophone,0,1,2,0,0,0,0,3,0,0,1
Trumpet,0,0,0,0,0,0,0,0,0,0,0
Violin,1,0,0,0,0,0,0,0,0,0,1
Voice,5,0,1,0,8,0,0,0,1,0,45
