epoch,train_loss,train_f1,val_loss,val_f1,lr
1,2.4944550522038194,0.12863168005554357,2.232610989499975,0.18984192505907221,0.0001
2,2.246385077961156,0.20621544452512952,2.05587981806861,0.2639536202168754,0.0001
3,2.1213887193815304,0.26770585235669314,1.9320782202261466,0.3138791346733605,0.0001
4,2.013204117941726,0.3048160386224162,1.8559119348172788,0.3543658614438483,0.0001
5,1.946856991840842,0.3258234424519093,1.7833361360761855,0.3673796648848297,0.0001
6,1.8380549970220348,0.36238424036890976,1.6539996729956732,0.4079507647403806,1e-05
7,1.6859031681154595,0.41147385362117544,1.556557054872866,0.4489799346772976,1e-05
8,1.551628700370997,0.4733570700087363,1.48433859039236,0.482368324375217,1e-05
9,1.448464880875551,0.5133874121454076,1.423785478980453,0.4952858058874865,1e-05
10,1.3578664533427505,0.5483515891911241,1.3803723299944843,0.502718609025965,1e-05
11,1.2556651824159049,0.5848829242552658,1.339949384883598,0.5286059336460961,1e-05
12,1.1649124449719497,0.6116080128195664,1.2987836488971003,0.5371945939187541,1e-05
13,1.0790567971318146,0.648630923134494,1.2735678730187592,0.5496166067274164,1e-05
14,1.0039605618826026,0.6793042308816589,1.2561384903060064,0.5455644270483766,1e-05
15,0.9175937068266947,0.7157108087829904,1.2272045965547915,0.5686873836641682,1e-05
16,0.8519909963256023,0.7419082095922408,1.2076291408803728,0.5656878410215471,1e-05
17,0.7903723589709548,0.7595138403316145,1.1823168065812852,0.5733226969546897,1e-05
18,0.7055712806396797,0.7961731637148888,1.1827398141225178,0.5682324164353434,1e-05
19,0.6545424710531704,0.8141058929744124,1.1667428336761616,0.5765771325171578,1e-05
20,0.5899980175690572,0.8388808096330383,1.1456617955808286,0.5812575580313919,1e-05
21,0.5341441558032739,0.8614038516932673,1.1668648576294933,0.5715760790322058,1e-05
22,0.4634767353046136,0.8850151191943602,1.1642443085158314,0.5741687288275571,1e-05
23,0.4090964042586707,0.9057226207620537,1.1644842856460147,0.5852306197092818,1e-05
24,0.36291144201990033,0.9203062876015676,1.1653967919173065,0.5894036244934098,1e-05
25,0.31227828016698034,0.9396356619478277,1.1814203405821766,0.5794847905111637,1e-05
26,0.2759963723479724,0.9507380334030198,1.1865772030971669,0.5919638737258837,1e-05
27,0.23595557341484424,0.9567674227112204,1.1862001363877896,0.5925035589175294,1e-05
28,0.20670956340643878,0.9647907756041121,1.2090530671455242,0.5866884633192302,1e-05
29,0.17679120535081852,0.9745371185688168,1.2174486838005207,0.5887588189228468,1e-05
30,0.15420940054244683,0.9787429115309588,1.232031144477703,0.5882832901766001,1e-05
31,0.13156855482954144,0.9831656431902296,1.2707963663118858,0.5851264711388972,1e-05
32,0.10868443733926028,0.9885221648001231,1.2706623132582064,0.5883029824568322,1e-05
33,0.10037576476407181,0.9890269487032011,1.2938239055651206,0.5830877249285827,5e-06
34,0.08247061141975265,0.9933722068593283,1.2999133235878415,0.5909841460102396,5e-06
35,0.07704533781103097,0.9943905630401425,1.3003884774667245,0.5919252420195705,5e-06
36,0.07170183983086888,0.9939683047208437,1.3186587122855362,0.5787406836039303,5e-06
37,0.06749225530997326,0.9954714763583635,1.335234472045192,0.5819291878660543,5e-06
