,Cello,Clarinet,Flute,Acoustic Guitar,Electric Guitar,Organ,Piano,Saxophone,Trumpet,Violin,Voice
Cello,2,0,0,1,0,0,0,1,0,0,22
Clarinet,0,0,0,1,0,0,0,2,5,0,0
Flute,0,4,15,6,1,0,0,0,1,1,0
Acoustic Guitar,2,2,6,78,12,1,0,2,4,2,26
Electric Guitar,15,3,0,4,65,21,13,29,4,3,60
Organ,0,0,1,1,5,8,1,4,0,0,9
Piano,0,8,7,10,10,3,82,114,30,0,31
Saxophone,0,0,2,0,0,0,1,3,0,0,1
Trumpet,0,0,0,0,0,0,0,0,0,0,0
Violin,0,0,0,0,0,0,0,0,0,1,1
Voice,4,0,0,0,4,0,0,0,0,2,50
