,Cello,Clarinet,Flute,Acoustic Guitar,Electric Guitar,Organ,Piano,Saxophone,Trumpet,Violin,Voice
Cello,2,0,0,0,0,0,0,0,0,2,22
Clarinet,0,0,0,0,0,0,0,4,4,0,0
Flute,0,0,9,9,3,3,2,1,1,0,0
Acoustic Guitar,5,1,2,82,9,5,0,2,3,2,24
Electric Guitar,6,0,2,5,55,35,12,20,7,8,67
Organ,0,0,0,0,5,8,2,2,0,1,11
Piano,2,6,9,7,14,27,68,100,31,0,31
Saxophone,0,1,1,0,0,0,0,3,1,0,1
Trumpet,0,0,0,0,0,0,0,0,0,0,0
Violin,1,0,0,0,0,0,0,0,0,0,1
Voice,3,0,2,0,7,0,0,0,1,1,46
