,Cello,Clarinet,Flute,Acoustic Guitar,Electric Guitar,Organ,Piano,Saxophone,Trumpet,Violin,Voice
Cello,1,0,0,1,0,0,0,0,0,2,22
Clarinet,0,0,0,0,0,0,0,4,4,0,0
Flute,0,2,8,9,3,3,1,0,1,0,1
Acoustic Guitar,2,2,1,86,13,3,1,3,2,0,22
Electric Guitar,6,1,2,2,64,35,14,21,5,3,64
Organ,0,0,0,0,5,8,3,3,0,0,10
Piano,2,3,10,6,13,21,65,114,32,0,29
Saxophone,0,2,1,1,0,0,0,2,0,0,1
Trumpet,0,0,0,0,0,0,0,0,0,0,0
Violin,0,0,0,0,0,0,0,0,0,1,1
Voice,3,0,2,1,9,1,0,1,1,0,42
