,Cello,Clarinet,Flute,Acoustic Guitar,Electric Guitar,Organ,Piano,Saxophone,Trumpet,Violin,Voice
Cello,1,0,0,1,0,0,0,1,0,0,23
Clarinet,0,0,0,0,0,0,0,6,2,0,0
Flute,0,2,14,9,1,0,0,0,1,1,0
Acoustic Guitar,2,1,4,77,9,2,0,6,4,4,26
Electric Guitar,12,2,0,3,58,23,15,32,4,4,64
Organ,0,0,1,0,7,7,1,4,0,0,9
Piano,0,4,10,7,15,3,77,114,33,1,31
Saxophone,0,0,2,0,0,0,1,3,0,0,1
Trumpet,0,0,0,0,0,0,0,0,0,0,0
Violin,0,0,0,0,0,0,0,0,0,1,1
Voice,3,0,0,0,2,0,0,0,0,3,52
