Strategy,Macro_F1,Micro_F1
geometric_mean,0.2567,0.3606
attention_weighted,0.2530,0.3556
mean,0.2489,0.3594
trimmed_mean,0.2485,0.3581
median,0.2476,0.3594
confidence_weighted,0.2472,0.3569
topk_mean_5,0.2467,0.3532
majority,0.2464,0.3581
max,0.2383,0.3507
linear_softmax,0.2315,0.3432
topk_mean_3,0.2300,0.3432
