,Cello,Clarinet,Flute,Acoustic Guitar,Electric Guitar,Organ,Piano,Saxophone,Trumpet,Violin,Voice
Cello,1,0,0,1,0,0,0,2,0,0,22
Clarinet,0,0,0,0,0,0,0,5,3,0,0
Flute,0,3,5,6,11,0,0,2,1,0,0
Acoustic Guitar,1,0,1,73,12,1,0,5,6,10,26
Electric Guitar,5,2,0,2,63,22,10,38,4,2,69
Organ,0,0,0,2,8,6,0,4,0,0,9
Piano,0,3,1,3,25,11,58,130,32,0,32
Saxophone,0,1,0,0,0,0,0,3,2,0,1
Trumpet,0,0,0,0,0,0,0,0,0,0,0
Violin,0,0,0,0,0,0,0,0,0,1,1
Voice,2,0,0,0,5,0,0,0,0,2,51
