epoch,train_loss,train_f1,val_loss,val_f1,lr
1,2.5388489863911614,0.11084308422216536,2.3353384556593717,0.16564153237786616,0.0001
2,2.4186017356935094,0.14728080546510583,2.2220416024879173,0.20448220180720417,0.0001
3,2.3528164032378482,0.17520980379272197,2.114821955009743,0.22012329707521427,0.0001
4,2.2842514912287393,0.19403131923877937,2.0567843869880393,0.26940595478663226,0.0001
5,2.23968515891195,0.2128111974866541,1.980094353357951,0.30008069138827276,0.0001
6,2.169867118851083,0.2388081142274369,1.8590214693987812,0.32646817677426304,1e-05
7,2.0957214291629898,0.25752823920483164,1.7662731276618109,0.34431203370435787,1e-05
8,2.03248721002881,0.28409108800092336,1.6912456861248724,0.3849012477915183,1e-05
9,1.967131934530748,0.3076474678100724,1.5976932424086112,0.4243139806625503,1e-05
10,1.9252123220370767,0.3281044666421754,1.5604684993072793,0.4492636411447282,1e-05
11,1.88924183806435,0.34441443114090614,1.520901044209798,0.4667904660251598,1e-05
12,1.8407626783912951,0.3561581831817644,1.4570331816320066,0.4850908493426653,1e-05
13,1.7867084533139004,0.3728643230342685,1.4352116077034562,0.4994926024599548,1e-05
14,1.7558940173498268,0.38967588972717965,1.3987243175506592,0.516779192376362,1e-05
15,1.7260267135224057,0.3934853680574444,1.3748719780533403,0.5083243629014368,1e-05
16,1.6943840583165486,0.41189587102043795,1.3375337256325617,0.5106619602409747,1e-05
17,1.6792800556766532,0.41077113439610324,1.321374166894842,0.5206835604368771,1e-05
18,1.6576712587492062,0.43093401145617155,1.2829118293744546,0.5268017152901222,1e-05
19,1.6325382118016645,0.43565635525858437,1.271394270437735,0.5278185130339037,1e-05
20,1.6140215422937778,0.4435627674580353,1.2701595326264699,0.5395640385941278,1e-05
21,1.5887212160506534,0.4523781630578668,1.244716363924521,0.5433422928601256,1e-05
22,1.5812832677299207,0.44801786858029974,1.2268832370086953,0.5519119523459739,1e-05
23,1.5283014624496627,0.4725458703378328,1.1975375502197831,0.5504271605046797,1e-05
24,1.5239578680913957,0.471867233324958,1.1779773169093661,0.5673726303011881,1e-05
25,1.4966381302948206,0.47349900938035544,1.16685966429887,0.5671471597093437,1e-05
26,1.4915447554301695,0.4822629909377618,1.1614794587647472,0.5710328223591108,1e-05
27,1.4478397695093208,0.49506491508460937,1.1202598611513774,0.5707825054610381,1e-05
28,1.4392966279566615,0.5039239902438365,1.1235694123639002,0.5630364215489404,1e-05
29,1.4343108095106532,0.499962090506396,1.1182778875033061,0.5761553401756341,1e-05
30,1.4110324519579527,0.5084439591169873,1.0932924626050171,0.588631991211166,1e-05
31,1.3963941381277283,0.5230990096698243,1.0929143759939406,0.5849995920245632,1e-05
32,1.3670355967485188,0.5254185624036203,1.1044901664610263,0.5845915904771736,1e-05
33,1.3835021622193968,0.5206079941862899,1.0905761001286682,0.5801938129402634,1e-05
34,1.3360125526704423,0.5333825144744577,1.0679055595839466,0.5946297867341828,1e-05
35,1.3227483861433351,0.5539143154115043,1.0526513700132016,0.5973595394973995,1e-05
36,1.3230448645320747,0.5472398205251862,1.057630878907663,0.5850789345335079,1e-05
37,1.2988821460249647,0.5483540971855004,1.0369325500947457,0.5980757711316979,1e-05
38,1.2909431483576206,0.5515732744813753,1.0254304696012426,0.613115735378563,1e-05
39,1.2652466587030171,0.5689866148340058,1.0475413192201544,0.6113571036597049,1e-05
40,1.2634535812940755,0.5651406888773309,1.0182342242311548,0.6264763173708768,1e-05
41,1.2356695242918254,0.5733923654593199,1.0292549431324005,0.6241932775287,1e-05
42,1.2584276043000768,0.5682623044718518,1.020113824694245,0.6084739915789545,1e-05
43,1.2057380780496232,0.5860889819735362,1.0282761366279036,0.6195026451752643,1e-05
44,1.205819605478172,0.5850286082866032,1.0367186356473852,0.6057920501745622,1e-05
45,1.2039434518970427,0.5853850983749006,1.0103178730717413,0.6175501901928698,1e-05
46,1.1767461892685604,0.5948904799594642,1.0002656082312267,0.6147626384042372,5e-06
47,1.1675324146864845,0.6016391971762212,0.9951937750533775,0.6280406918844972,5e-06
48,1.1584571665102015,0.6045159517868022,0.995850318007999,0.6278571189555506,5e-06
49,1.144115077667549,0.6092344683083736,0.9835486423086237,0.6246072826066411,5e-06
50,1.1394991334018811,0.6081080179512018,0.9840472638607025,0.6174642937194156,5e-06
