,Cello,Clarinet,Flute,Acoustic Guitar,Electric Guitar,Organ,Piano,Saxophone,Trumpet,Violin,Voice
Cello,2,0,0,2,0,0,0,0,0,0,22
Clarinet,0,0,0,0,0,1,0,5,2,0,0
Flute,0,2,14,6,2,0,1,1,1,0,1
Acoustic Guitar,2,1,5,77,6,3,0,3,4,5,29
Electric Guitar,16,2,0,1,41,28,15,27,11,3,73
Organ,1,0,0,2,5,7,1,3,0,0,10
Piano,2,2,7,7,9,8,81,108,37,0,34
Saxophone,0,0,1,0,0,0,1,3,1,0,1
Trumpet,0,0,0,0,0,0,0,0,0,0,0
Violin,1,0,0,0,0,0,0,0,0,0,1
Voice,3,0,0,0,2,0,0,0,0,3,52
