,Cello,Clarinet,Flute,Acoustic Guitar,Electric Guitar,Organ,Piano,Saxophone,Trumpet,Violin,Voice
Cello,1,0,0,1,0,0,0,3,0,0,21
Clarinet,0,0,0,0,0,0,0,4,4,0,0
Flute,0,2,4,5,12,0,0,3,1,1,0
Acoustic Guitar,1,2,1,72,11,1,0,6,4,12,25
Electric Guitar,7,2,0,2,64,20,10,41,4,2,65
Organ,0,0,0,0,9,6,0,4,0,1,9
Piano,0,6,1,3,37,9,53,130,26,0,30
Saxophone,0,2,0,0,0,0,0,3,1,0,1
Trumpet,0,0,0,0,0,0,0,0,0,0,0
Violin,0,0,0,0,0,0,0,0,0,1,1
Voice,2,0,0,0,6,0,0,3,3,2,44
