,Cello,Clarinet,Flute,Acoustic Guitar,Electric Guitar,Organ,Piano,Saxophone,Trumpet,Violin,Voice
Cello,2,0,0,1,0,0,0,0,0,0,23
Clarinet,0,0,0,0,0,0,0,5,3,0,0
Flute,0,3,13,9,1,0,0,0,1,1,0
Acoustic Guitar,4,2,6,76,4,2,0,4,5,5,27
Electric Guitar,13,1,0,2,46,27,17,29,9,3,70
Organ,0,0,1,1,5,7,2,4,0,0,9
Piano,0,1,7,6,11,7,78,115,37,0,33
Saxophone,0,0,1,0,0,0,1,3,1,0,1
Trumpet,0,0,0,0,0,0,0,0,0,0,0
Violin,1,0,0,0,0,0,0,0,0,0,1
Voice,3,0,0,0,2,1,0,0,0,2,52
