,Cello,Clarinet,Flute,Acoustic Guitar,Electric Guitar,Organ,Piano,Saxophone,Trumpet,Violin,Voice
Cello,1,0,0,1,0,0,0,2,0,0,22
Clarinet,0,0,0,0,0,0,0,4,4,0,0
Flute,0,3,5,7,10,0,0,1,1,0,1
Acoustic Guitar,1,0,1,74,13,1,0,5,6,8,26
Electric Guitar,6,3,0,2,58,22,9,37,6,2,72
Organ,0,0,0,2,8,6,0,4,0,0,9
Piano,0,2,1,4,24,11,58,129,33,0,33
Saxophone,0,1,0,0,0,0,0,2,3,0,1
Trumpet,0,0,0,0,0,0,0,0,0,0,0
Violin,0,0,0,0,0,0,0,0,0,1,1
Voice,2,0,0,0,3,0,0,0,0,3,52
