,Cello,Clarinet,Flute,Acoustic Guitar,Electric Guitar,Organ,Piano,Saxophone,Trumpet,Violin,Voice
Cello,2,0,0,0,0,0,0,0,0,2,22
Clarinet,0,0,0,0,0,0,0,4,4,0,0
Flute,0,2,9,9,3,3,0,0,1,0,1
Acoustic Guitar,2,2,1,86,11,4,0,3,2,0,24
Electric Guitar,6,0,1,5,62,35,13,20,5,5,65
Organ,0,0,0,0,5,10,2,3,0,0,9
Piano,2,6,10,6,12,26,66,109,29,0,29
Saxophone,0,1,2,0,0,0,0,3,0,0,1
Trumpet,0,0,0,0,0,0,0,0,0,0,0
Violin,0,0,0,0,0,0,0,0,0,1,1
Voice,5,0,1,0,7,0,2,1,1,0,43
