,Cello,Clarinet,Flute,Acoustic Guitar,Electric Guitar,Organ,Piano,Saxophone,Trumpet,Violin,Voice
Cello,1,0,0,1,0,0,0,4,0,0,20
Clarinet,0,0,0,0,0,0,0,4,4,0,0
Flute,0,7,5,3,8,0,0,3,1,1,0
Acoustic Guitar,1,2,0,69,11,1,0,11,3,12,25
Electric Guitar,5,3,0,2,62,20,8,45,2,3,67
Organ,0,1,0,0,9,6,0,4,0,0,9
Piano,0,5,0,2,33,9,49,140,27,0,30
Saxophone,0,1,0,0,0,0,0,4,1,0,1
Trumpet,0,0,0,0,0,0,0,0,0,0,0
Violin,0,0,0,0,0,0,0,0,0,1,1
Voice,2,0,0,0,5,0,0,3,1,2,47
