,Cello,Clarinet,Flute,Acoustic Guitar,Electric Guitar,Organ,Piano,Saxophone,Trumpet,Violin,Voice
Cello,1,0,0,2,0,0,0,0,0,0,23
Clarinet,0,0,0,1,0,0,0,2,5,0,0
Flute,0,2,16,8,1,0,0,0,1,0,0
Acoustic Guitar,2,2,7,77,8,2,0,2,4,3,28
Electric Guitar,13,2,0,4,60,25,15,27,8,2,61
Organ,0,0,0,1,6,8,1,4,0,0,9
Piano,1,2,6,8,7,6,90,107,37,0,31
Saxophone,0,0,1,0,0,0,1,3,1,0,1
Trumpet,0,0,0,0,0,0,0,0,0,0,0
Violin,0,0,0,0,0,0,0,0,0,1,1
Voice,4,0,0,0,3,0,0,0,0,2,51
