epoch,train_loss,train_f1,val_loss,val_f1,lr
1,2.5116511081737247,0.12365525998535652,2.265507185900653,0.18045953532346867,0.0001
2,2.2922574157923297,0.18971366273091456,2.089798340090999,0.2356334186732663,0.0001
3,2.1701242396088896,0.24542918813489695,1.9576162408899378,0.30024875523482863,0.0001
4,2.0761549609606385,0.2732900157467668,1.8678555532738015,0.33844681544744737,0.0001
5,2.02973840666599,0.2903545549015494,1.8023423221376207,0.36302479056051856,0.0001
6,1.9136850338815992,0.34115007121622953,1.6703481409284804,0.40179370512510887,1e-05
7,1.811759090814434,0.37003327259318064,1.5730578281261303,0.43804875190631465,1e-05
8,1.7012912126186768,0.4225314074535762,1.495324351169445,0.4572858242905212,1e-05
9,1.6354742981697041,0.43452836947173634,1.425903892075574,0.4840225641570136,1e-05
10,1.5637321179030372,0.4727360626314399,1.385170923338996,0.5034156175948798,1e-05
11,1.4906232845587808,0.4873695846426489,1.3415268195999994,0.5176647816808774,1e-05
12,1.4216444309943361,0.5218021585139915,1.298713500852938,0.5383331364984564,1e-05
13,1.3605591788317988,0.5442922081590411,1.2709258264965482,0.5401111830932136,1e-05
14,1.3234947382426652,0.5534065204634889,1.2397734456592135,0.5524629112685406,1e-05
15,1.2556393146514893,0.5840730907582908,1.198642333348592,0.5636976472919009,1e-05
16,1.2203624707753542,0.5895577932399813,1.1808178667668943,0.5658107173887079,1e-05
17,1.168953499507383,0.610355697977999,1.148183716668023,0.5748920819194369,1e-05
18,1.1122533946089406,0.6309283440810945,1.1392481040071558,0.5828473187910379,1e-05
19,1.0979597298173958,0.633488528472208,1.1153702206081815,0.5900311236076556,1e-05
20,1.0498169022179693,0.6441544491555176,1.096339711436519,0.5981461744477816,1e-05
21,1.026714154605657,0.6574833658285951,1.0938431984848447,0.5864030058841728,1e-05
22,0.9673872739890885,0.680625275111468,1.0902968049049377,0.5919521052780508,1e-05
23,0.937326063712438,0.6938959190515416,1.0717099474536047,0.5870177712217409,1e-05
24,0.9032181507902719,0.7101235507498342,1.0538827854174155,0.5959132817949248,1e-05
25,0.8750621492419738,0.7114824805478386,1.0538540372142085,0.6036407756651413,1e-05
26,0.8318688480254731,0.7306595396058237,1.034804156532994,0.6019690799606839,1e-05
27,0.8124230940485261,0.7356177058892119,1.0129882560835943,0.622356077576224,1e-05
28,0.7858487147776807,0.7465086930226754,1.0194719091609672,0.6226064478419603,1e-05
29,0.7519696960683728,0.7573374212306946,1.0207078004324879,0.6220100675391727,1e-05
30,0.7369177043437958,0.7592710146381886,0.9951391021410624,0.6313016288557644,1e-05
31,0.703666948392743,0.7802200653997775,1.0221960412131414,0.6313608019392397,1e-05
32,0.668023388242461,0.7890105164847001,1.0155209004878998,0.6280719709112521,1e-05
33,0.6422271534719103,0.8055327310577591,1.0086373499146215,0.63328208395465,1e-05
34,0.6141310453089208,0.8124508514929012,1.0072225917268682,0.6343288361485439,1e-05
35,0.5859621756715201,0.8196940045334631,1.0212044439933918,0.6311039503609422,1e-05
36,0.5728175734561649,0.8259187693509579,1.012615371633459,0.6313454692811971,1e-05
37,0.545797327421402,0.8312196257556487,1.002561993069119,0.6391773278404349,1e-05
38,0.5138160602642539,0.8424836860127812,1.0013442657611988,0.6499278051203355,1e-05
39,0.5136193636336613,0.8446098520891574,1.016094038883845,0.6449609356480938,1e-05
40,0.4935533445878107,0.8493822442943205,1.0465558458257604,0.6348177666941546,1e-05
41,0.45254277588565495,0.8601262664807812,1.0321919366165444,0.6376919712201978,1e-05
42,0.456473902193575,0.8604456670928603,1.0094302870609142,0.6546980864169047,1e-05
43,0.43368303165084027,0.862962649521409,1.0253674884637196,0.6425309129521464,1e-05
44,0.41349618601017313,0.8726739544440929,1.033656413908358,0.653731173067833,1e-05
45,0.39778487726313166,0.8762658017604522,1.033883896138933,0.6584234544648386,1e-05
46,0.38925804560138877,0.88374222666373,1.0293278992176056,0.6640230071397156,1e-05
47,0.38268618546222727,0.8832439710378839,1.0244504665886913,0.6630043621317939,1e-05
48,0.37461120390989744,0.8825413189964063,1.049991978539361,0.6475779421933494,1e-05
49,0.3557524082194912,0.8891899840389109,1.0432687181013602,0.6587012560982293,1e-05
50,0.3469552433148759,0.8956166346046522,1.0478170017401378,0.6565214317210079,1e-05
