,Cello,Clarinet,Flute,Acoustic Guitar,Electric Guitar,Organ,Piano,Saxophone,Trumpet,Violin,Voice
Cello,2,0,0,0,0,0,0,0,0,2,22
Clarinet,0,0,0,0,0,0,0,4,4,0,0
Flute,0,1,9,9,3,3,1,0,1,0,1
Acoustic Guitar,2,2,1,86,12,4,0,3,2,0,23
Electric Guitar,4,0,1,6,67,35,13,21,5,3,62
Organ,0,0,0,0,5,11,1,3,0,0,9
Piano,2,5,10,6,14,24,66,107,31,0,30
Saxophone,0,1,2,0,0,0,0,3,0,0,1
Trumpet,0,0,0,0,0,0,0,0,0,0,0
Violin,1,0,0,0,0,0,0,0,0,0,1
Voice,5,0,1,0,9,1,0,0,1,0,43
